jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|hourly_traffic_count:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=hourly_traffic_count,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=hourly_traffic_count, 
1053,  38378,  completed,  eof,  2014-08-08 11:37:13,  2014-08-08 11:38:03,  50,  modelParams|sensorParams|encoders|hourly_traffic_count:n_272.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  3869,  None,  272,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  103.19309441,  24.2646848577, 
1053,  38469,  completed,  eof,  2014-08-08 11:37:13,  2014-08-08 11:37:48,  35,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  3869,  None,  None,  0.05005,  11,  14,  None,  3,  3.5,  275,  0.05015,  261.003211224,  61.3719426037, 
1053,  38550,  completed,  eof,  2014-08-08 11:37:14,  2014-08-08 11:37:41,  27,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  3869,  None,  None,  0.05005,  11,  14,  6.25,  3,  None,  275,  0.05015,  78.8305994437,  18.5361206928, 
1053,  38621,  completed,  eof,  2014-08-08 11:37:14,  2014-08-08 11:37:44,  30,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  3869,  1,  None,  0.05005,  11,  14,  None,  3,  None,  275,  0.05015,  220.171882213,  51.7709190425, 
1053,  38682,  completed,  eof,  2014-08-08 11:37:14,  2014-08-08 11:37:45,  31,  modelParams|sensorParams|encoders|hourly_traffic_count:n_22.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  3869,  None,  22,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  154.443800463,  36.3157066653, 
1053,  38733,  completed,  eof,  2014-08-08 11:37:14,  2014-08-08 11:37:42,  28,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  3869,  None,  None,  0.0001,  9,  12,  None,  1,  1.0,  28,  0.1,  356.911829366,  83.9237655493, 
1053,  38774,  completed,  eof,  2014-08-08 11:37:14,  2014-08-08 11:37:45,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  3869,  None,  None,  0.0001,  9,  12,  0.5,  1,  None,  28,  0.1,  76.8495938024,  18.0703097017, 
1053,  38805,  completed,  eof,  2014-08-08 11:37:14,  2014-08-08 11:37:40,  26,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  3869,  1,  None,  0.0001,  9,  12,  None,  1,  None,  28,  0.1,  248.645361103,  58.4661344153, 
1053,  38826,  completed,  eof,  2014-08-08 11:37:15,  2014-08-08 11:38:25,  70,  modelParams|sensorParams|encoders|hourly_traffic_count:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  3869,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  0.0003,  102.099418417,  24.0075193618, 
1053,  38837,  completed,  eof,  2014-08-08 11:37:15,  2014-08-08 11:38:08,  53,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  3869,  None,  None,  0.1,  12,  16,  None,  5,  6.0,  521,  0.0003,  278.103181329,  65.3928064806, 
